number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
108,0.01672068405918336,2020-11-25 02:35:29.012038,2020-11-25 02:40:03.890176,0 days 00:04:34.878138,relu,"[512, 448, 384, 320]",0.44132888842077156,0.21172532486236176,0.5454525083608095,0.21188227900988726,0.46873783717009526,COMPLETE
109,0.0166479078909001,2020-11-25 02:40:03.915539,2020-11-25 02:44:46.834027,0 days 00:04:42.918488,relu,"[512, 448, 384, 320]",0.38106697673273704,0.2574834656803888,0.5242172845954723,0.2010436533315009,0.43340761059907384,COMPLETE
110,0.016939779828644475,2020-11-25 02:44:46.859041,2020-11-25 02:49:30.515070,0 days 00:04:43.656029,relu,"[512, 448, 384, 320]",0.4069203206539568,0.6789894445371247,0.49431846365585325,0.2254462878274534,0.47374778612509433,COMPLETE
111,0.016659387489387677,2020-11-25 02:49:30.538128,2020-11-25 02:54:10.457445,0 days 00:04:39.919317,relu,"[512, 448, 384, 320]",0.35107200644474323,0.2372398898825299,0.4304290850512505,0.20906711477965237,0.5227244054622557,COMPLETE
112,0.01664985134719241,2020-11-25 02:54:10.481353,2020-11-25 02:58:49.865218,0 days 00:04:39.383865,relu,"[512, 448, 384, 320]",0.36945942187196706,0.2196540289745545,0.4556468650083691,0.2553551926182759,0.4560492173358103,COMPLETE
113,0.0167077758190296,2020-11-25 02:58:49.889155,2020-11-25 03:03:49.885257,0 days 00:04:59.996102,relu,"[512, 448, 384, 320]",0.3355326340000204,0.20026834306524502,0.5061963851258414,0.20074425073576083,0.5348024528941988,COMPLETE
114,0.01668111314854028,2020-11-25 03:03:49.911577,2020-11-25 03:08:55.122189,0 days 00:05:05.210612,relu,"[512, 448, 384, 320]",0.3207910505575263,0.23429280401334138,0.4718954705947552,0.23907575538124057,0.5417308334222682,COMPLETE
115,0.01668862313344692,2020-11-25 03:08:55.144348,2020-11-25 03:13:48.554338,0 days 00:04:53.409990,relu,"[512, 448, 384, 320]",0.3542347763667742,0.21252611187130305,0.5194489559632459,0.2258781861820164,0.509743297289665,COMPLETE
116,0.016607327476909746,2020-11-25 03:13:48.581807,2020-11-25 03:18:42.367835,0 days 00:04:53.786028,relu,"[512, 448, 384, 320]",0.3378986308461283,0.22559659465858417,0.4632789853367101,0.2009337481493187,0.47969235403787,COMPLETE
117,0.016659387051463824,2020-11-25 03:18:42.393278,2020-11-25 03:23:35.948450,0 days 00:04:53.555172,relu,"[512, 448, 384, 320]",0.384566614239031,0.25545394574547986,0.49038630246465353,0.20039578004743097,0.4796741182418937,COMPLETE
118,0.016988574892897366,2020-11-25 03:23:35.975378,2020-11-25 03:28:30.710498,0 days 00:04:54.735120,elu,"[512, 448, 384, 320]",0.33999947330198843,0.20052710071174495,0.46663728293250883,0.2188717197452428,0.43978233074422557,COMPLETE
119,0.016624109611714045,2020-11-25 03:28:30.735802,2020-11-25 03:33:48.023240,0 days 00:05:17.287438,relu,"[512, 448, 384, 320]",0.31622823115152177,0.2762545645689527,0.4443803376957244,0.24213733969838616,0.4909116118619981,COMPLETE
120,0.016647379533098295,2020-11-25 03:33:48.046495,2020-11-25 03:38:46.716991,0 days 00:04:58.670496,relu,"[512, 448, 384, 320]",0.3119541218997057,0.27426758539694585,0.4456309502620287,0.24309436613296784,0.49193461377043624,COMPLETE
121,0.01661659988958771,2020-11-25 03:38:46.743261,2020-11-25 03:43:40.634116,0 days 00:04:53.890855,relu,"[512, 448, 384, 320]",0.2979463701582442,0.22604447017691487,0.4798566307787239,0.2599423688876401,0.45798462840241966,COMPLETE
122,0.01659439089361662,2020-11-25 03:43:40.659466,2020-11-25 03:48:33.899032,0 days 00:04:53.239566,relu,"[512, 448, 384, 320]",0.302038640309732,0.2356275379660329,0.48074205661260466,0.25638076439188173,0.4743244338307223,COMPLETE
123,0.016587936638924758,2020-11-25 03:48:33.923259,2020-11-25 03:53:27.716234,0 days 00:04:53.792975,relu,"[512, 448, 384, 320]",0.29592888190986666,0.24628900726296915,0.48006005164540405,0.25753449831538766,0.47529325962256774,COMPLETE
124,0.016627357735457687,2020-11-25 03:53:27.743162,2020-11-25 03:58:20.605006,0 days 00:04:52.861844,relu,"[512, 448, 384, 320]",0.30014391436099386,0.23382082904088733,0.4797316993068347,0.2635634427176933,0.47179739034846313,COMPLETE
125,0.016606416628539886,2020-11-25 03:58:20.630302,2020-11-25 04:03:14.198616,0 days 00:04:53.568314,relu,"[512, 448, 384, 320]",0.26940166384535247,0.2500471285247265,0.47846972148729744,0.2595965797141492,0.47014098800914256,COMPLETE
126,0.016624691523274254,2020-11-25 04:03:14.226793,2020-11-25 04:08:07.125916,0 days 00:04:52.899123,relu,"[512, 448, 384, 320]",0.3005181621955396,0.2484310256316817,0.4789474859606803,0.26360478258823816,0.47933085538528847,COMPLETE
127,0.01663829385714824,2020-11-25 04:08:07.150226,2020-11-25 04:13:01.550119,0 days 00:04:54.399893,relu,"[512, 448, 384, 320]",0.27155393470011835,0.2668036440578422,0.4827710807996546,0.27407881501296244,0.4736304602200874,COMPLETE
128,0.016591228486281986,2020-11-25 04:13:01.574500,2020-11-25 04:17:54.736631,0 days 00:04:53.162131,relu,"[512, 448, 384, 320]",0.30084849992752366,0.2502398629522656,0.4961009618477068,0.25735730204177837,0.42382452290676387,COMPLETE
129,0.016643560359679132,2020-11-25 04:17:54.760592,2020-11-25 04:22:49.135987,0 days 00:04:54.375395,relu,"[512, 448, 384, 320]",0.29651692585328593,0.2508454441577617,0.5037623958154748,0.3136244958458388,0.42314782537313933,COMPLETE
130,0.01660903809066677,2020-11-25 04:22:49.159173,2020-11-25 04:27:46.511263,0 days 00:04:57.352090,relu,"[512, 448, 384, 320]",0.2727103084619198,0.3086513300076311,0.5249560882598294,0.29403855227204234,0.43259962931655327,COMPLETE
131,0.01660468734627116,2020-11-25 04:27:46.534746,2020-11-25 04:32:55.052208,0 days 00:05:08.517462,relu,"[512, 448, 384, 320]",0.2689831763921442,0.28062002798908264,0.5239764962249747,0.29703379685861586,0.4167676543851851,COMPLETE
132,0.016612656840718346,2020-11-25 04:32:55.078368,2020-11-25 04:38:18.310168,0 days 00:05:23.231800,relu,"[512, 448, 384, 320]",0.2682532279316793,0.31357555070216336,0.532125706679808,0.2769739238817464,0.4342242154856269,COMPLETE
133,0.01663934470085266,2020-11-25 04:38:18.335444,2020-11-25 04:43:44.991899,0 days 00:05:26.656455,relu,"[512, 448, 384, 320]",0.2696342933397805,0.3046120491510022,0.578828949983363,0.29824350805448946,0.3870475831936285,COMPLETE
134,0.01666452385166624,2020-11-25 04:43:45.016001,2020-11-25 04:48:38.374331,0 days 00:04:53.358330,relu,"[512, 448, 384, 320]",0.2765132163426833,0.3152363537775445,0.5277901198158974,0.2835720174510451,0.4189360844082294,COMPLETE
135,0.016672473267341743,2020-11-25 04:48:38.401647,2020-11-25 04:53:31.533540,0 days 00:04:53.131893,relu,"[512, 448, 384, 320]",0.28766823537375846,0.2913788109098323,0.5539463475987305,0.3351372782638409,0.43621597912099447,COMPLETE
136,0.016760118567770377,2020-11-25 04:53:31.560715,2020-11-25 04:58:40.732792,0 days 00:05:09.172077,relu,"[1024, 896, 768, 640]",0.24088478085045711,0.26375470364480463,0.5406894179666236,0.2747653664274735,0.4052485491961655,COMPLETE
137,0.016694988405109832,2020-11-25 04:58:40.756847,2020-11-25 05:03:34.605240,0 days 00:04:53.848393,relu,"[512, 448, 384, 320]",0.2659788161742443,0.33465369063103056,0.5124741666391186,0.3634204261153158,0.44676679693238636,COMPLETE
138,0.016615775388345272,2020-11-25 05:03:34.632544,2020-11-25 05:08:28.126808,0 days 00:04:53.494264,relu,"[512, 448, 384, 320]",0.2784739255937734,0.28218932490299553,0.4952021225549835,0.29392996940165594,0.4319958001827395,COMPLETE
139,0.017364884290201225,2020-11-25 05:08:28.150937,2020-11-25 05:13:58.490648,0 days 00:05:30.339711,relu,"[1024, 768, 1536, 1792]",0.2778616345758893,0.32427606661613867,0.4954836985781186,0.297705277835763,0.43423550906114083,COMPLETE
140,0.016636952865869248,2020-11-25 05:13:58.515889,2020-11-25 05:18:50.963573,0 days 00:04:52.447684,relu,"[512, 448, 384, 320]",0.2922516729053609,0.30660022907461937,0.5286948620910147,0.32046017560079704,0.40988113983924673,COMPLETE
141,0.016613366995940102,2020-11-25 05:18:50.988787,2020-11-25 05:23:45.224965,0 days 00:04:54.236178,relu,"[512, 448, 384, 320]",0.28287986300189405,0.2863260875360604,0.5152135312416604,0.2913542993531526,0.46140493182526604,COMPLETE
142,0.01661749003266754,2020-11-25 05:23:45.248157,2020-11-25 05:28:38.781851,0 days 00:04:53.533694,relu,"[512, 448, 384, 320]",0.26191402605270575,0.28387554131726284,0.4889452552409046,0.30915810120627296,0.42575728100368443,COMPLETE
143,0.016573844186554505,2020-11-25 05:28:38.807806,2020-11-25 05:33:31.438328,0 days 00:04:52.630522,relu,"[512, 448, 384, 320]",0.2824433177641591,0.2903367807095574,0.5010702637007405,0.29599137446457596,0.39204642361833647,COMPLETE
144,0.017209241818808542,2020-11-25 05:33:31.463625,2020-11-25 05:39:52.095742,0 days 00:06:20.632117,relu,"[2560, 2048, 1524, 1012]",0.2771342801743149,0.29267129035951017,0.5013857582472251,0.33692817341148223,0.38768086379714933,COMPLETE
145,0.016612974881389832,2020-11-25 05:39:52.120889,2020-11-25 05:44:45.625503,0 days 00:04:53.504614,relu,"[512, 448, 384, 320]",0.23778388024635827,0.3459599274208706,0.5666996193191159,0.29438240013740585,0.41028523798085115,COMPLETE
146,0.016601431295110755,2020-11-25 05:44:45.650695,2020-11-25 05:49:39.540194,0 days 00:04:53.889499,relu,"[512, 448, 384, 320]",0.22841656655920134,0.33764015121561775,0.5835847839167928,0.28935070927438755,0.3614776770940917,COMPLETE
147,0.01746662050554448,2020-11-25 05:49:39.563573,2020-11-25 05:55:16.359721,0 days 00:05:36.796148,relu,"[512, 768, 1536, 1792]",0.2402511828660422,0.3442893542524768,0.6066886613215621,0.3189113478967433,0.3491242711664807,COMPLETE
148,0.016641004869952233,2020-11-25 05:55:16.383133,2020-11-25 06:00:19.410552,0 days 00:05:03.027419,relu,"[512, 448, 384, 320]",0.2196789642061403,0.36860028027140546,0.5868106845030153,0.2735622993632195,0.37237302887561186,COMPLETE
149,0.01663598565640726,2020-11-25 06:00:19.435846,2020-11-25 06:05:12.603603,0 days 00:04:53.167757,relu,"[512, 448, 384, 320]",0.2342135232228437,0.3454630996873808,0.5968110436105016,0.30481634129587337,0.39595858658303995,COMPLETE
150,0.01659063851840664,2020-11-25 06:05:12.628787,2020-11-25 06:10:04.582729,0 days 00:04:51.953942,relu,"[512, 448, 384, 320]",0.20882065692460655,0.330358077984877,0.5570721637921112,0.2772602063208504,0.4102192909497207,COMPLETE
151,0.016592959537928526,2020-11-25 06:10:04.605993,2020-11-25 06:14:57.777139,0 days 00:04:53.171146,relu,"[512, 448, 384, 320]",0.2098319181025491,0.329008254021471,0.5596707634643106,0.2781116900958299,0.4151585887733298,COMPLETE
152,0.016612842379687614,2020-11-25 06:14:57.802434,2020-11-25 06:19:51.299429,0 days 00:04:53.496995,relu,"[512, 448, 384, 320]",0.21260418857803698,0.31509767277978307,0.5531332963935045,0.2811741063094286,0.3858046270121354,COMPLETE
153,0.01668532836646589,2020-11-25 06:19:51.322998,2020-11-25 06:24:45.033669,0 days 00:04:53.710671,relu,"[512, 448, 384, 320]",0.2520939597117416,0.32341379555005806,0.6419881422094672,0.25110061489591123,0.4172911000036118,COMPLETE
154,0.01656696121608462,2020-11-25 06:24:45.058946,2020-11-25 06:29:59.892332,0 days 00:05:14.833386,relu,"[512, 448, 384, 320]",0.20646760452099627,0.3305247550066521,0.5716777882870695,0.27770059523395263,0.35666267130702584,COMPLETE
155,0.016633063986012726,2020-11-25 06:29:59.918529,2020-11-25 06:34:57.898884,0 days 00:04:57.980355,relu,"[512, 448, 384, 320]",0.22831521369806787,0.33339316930594765,0.5707694219793137,0.26975008173114745,0.35321871045914854,COMPLETE
156,0.016608301894610027,2020-11-25 06:34:57.923222,2020-11-25 06:39:52.450625,0 days 00:04:54.527403,relu,"[512, 448, 384, 320]",0.20047317747160195,0.3574215430733348,0.6213965847108766,0.2614650698483669,0.3629599680512504,COMPLETE
157,0.017371758840996676,2020-11-25 06:39:52.479101,2020-11-25 06:45:18.468602,0 days 00:05:25.989501,relu,"[1024, 1536, 768, 1792]",0.2007268908596559,0.4059043125898164,0.5898518100402733,0.2559554063986809,0.3649331644868814,COMPLETE
158,0.017706160766317657,2020-11-25 06:45:18.493308,2020-11-25 06:51:22.360197,0 days 00:06:03.866889,elu,"[2048, 1792, 1536, 1280]",0.20888399285019196,0.38347111446668436,0.5448413271600344,0.2462431548099675,0.33029679967360664,COMPLETE
159,0.016590420333232738,2020-11-25 06:51:22.386593,2020-11-25 06:56:16.120839,0 days 00:04:53.734246,relu,"[512, 448, 384, 320]",0.21548882318201945,0.3626758003261103,0.5757062427265401,0.2788594953996801,0.36504066482743786,COMPLETE
160,0.01663256479282382,2020-11-25 06:56:16.147918,2020-11-25 07:01:08.805184,0 days 00:04:52.657266,relu,"[512, 448, 384, 320]",0.22180303396246207,0.3644704846179107,0.5581166057111089,0.4210434918629372,0.3174883280489414,COMPLETE
161,0.01664482794470518,2020-11-25 07:01:08.828538,2020-11-25 07:06:02.078969,0 days 00:04:53.250431,relu,"[512, 448, 384, 320]",0.22644694256547193,0.3549987988808648,0.6325569703054845,0.2780560593435372,0.3790280448522906,COMPLETE
162,0.0166048639965757,2020-11-25 07:06:02.109099,2020-11-25 07:10:55.553678,0 days 00:04:53.444579,relu,"[512, 448, 384, 320]",0.20101702722149442,0.3610318542705294,0.6136412234129417,0.2639532369973479,0.3566094340112571,COMPLETE
163,0.016879627617612105,2020-11-25 07:10:55.577939,2020-11-25 07:15:49.301621,0 days 00:04:53.723682,relu,"[512, 448, 384, 320]",0.530652584064148,0.3977678413584752,0.5994887225893556,0.2623367949342069,0.3616945585256455,COMPLETE
164,0.017089792648808378,2020-11-25 07:15:49.327845,2020-11-25 07:21:06.556360,0 days 00:05:17.228515,relu,"[1024, 1024, 1024, 1024]",0.20988615971050067,0.3380086283770766,0.5782594895825535,0.28416501909422665,0.3972837638284745,COMPLETE
165,0.01660826213873182,2020-11-25 07:21:06.581725,2020-11-25 07:26:00.654580,0 days 00:04:54.072855,relu,"[512, 448, 384, 320]",0.24793906588798023,0.3309578567848449,0.6123751978189026,0.24958194898973302,0.3553423958717758,COMPLETE
166,0.016712169128512807,2020-11-25 07:26:00.680131,2020-11-25 07:30:53.836359,0 days 00:04:53.156228,relu,"[512, 448, 384, 320]",0.32117395138057553,0.37658888060991125,0.5697032569039008,0.3076770414760724,0.39024543367623166,COMPLETE
167,0.01674376435305233,2020-11-25 07:30:53.863614,2020-11-25 07:35:49.040627,0 days 00:04:55.177013,relu,"[512, 512, 512, 512]",0.20195081437769713,0.29653749855324246,0.6276929309653793,0.2687793547804494,0.3733946003469968,COMPLETE
168,0.01664188058270099,2020-11-25 07:35:49.064912,2020-11-25 07:40:42.193327,0 days 00:04:53.128415,relu,"[512, 448, 384, 320]",0.2910119820517164,0.4484547299273055,0.4690853534756304,0.23717534848220412,0.3423321571978502,COMPLETE
169,0.016608029093901404,2020-11-25 07:40:42.217626,2020-11-25 07:45:36.200299,0 days 00:04:53.982673,relu,"[512, 448, 384, 320]",0.30781125355592465,0.24492136813773366,0.4632632210516404,0.28375203616824796,0.4015763085791033,COMPLETE
170,0.016622436982084925,2020-11-25 07:45:36.224691,2020-11-25 07:50:35.345918,0 days 00:04:59.121227,relu,"[512, 448, 384, 320]",0.21367852185800212,0.26520328105785257,0.5914372754694209,0.3232817773907192,0.38037856548970855,COMPLETE
171,0.016573799694572955,2020-11-25 07:50:35.371135,2020-11-25 07:55:26.994675,0 days 00:04:51.623540,relu,"[512, 448, 384, 320]",0.3053417279565166,0.24518410566932355,0.4605686273174499,0.28727051708471096,0.40824738310728415,COMPLETE
172,0.01676055744432181,2020-11-25 07:55:27.020995,2020-11-25 08:00:20.254120,0 days 00:04:53.233125,relu,"[512, 448, 384, 320]",0.3026020817551193,0.24235151758619344,0.5769841148096901,0.4786810362308347,0.4097362464562165,COMPLETE
173,0.01663801624178086,2020-11-25 08:00:20.279404,2020-11-25 08:05:13.581770,0 days 00:04:53.302366,relu,"[512, 448, 384, 320]",0.2613126217170409,0.25998851314694627,0.4543629244507154,0.29991997343038423,0.5032573790871294,COMPLETE
174,0.01662142204183441,2020-11-25 08:05:13.604999,2020-11-25 08:10:08.367593,0 days 00:04:54.762594,relu,"[512, 448, 384, 320]",0.31578999832607124,0.35732216621608,0.5518065566735808,0.2756086924058404,0.3711606830272037,COMPLETE
175,0.016910917835265774,2020-11-25 08:10:08.390887,2020-11-25 08:15:02.536568,0 days 00:04:54.145681,relu,"[512, 448, 384, 320]",0.2879687388579484,0.6092435199116486,0.6619987080134843,0.289851582224808,0.4499350702539543,COMPLETE
176,0.01671304973954567,2020-11-25 08:15:02.562969,2020-11-25 08:19:57.645364,0 days 00:04:55.082395,relu,"[512, 448, 384, 320]",0.3329721591725759,0.31963166976798835,0.47268116034486357,0.2649441437814585,0.3016454921792814,COMPLETE
177,0.0165669074535205,2020-11-25 08:19:57.671686,2020-11-25 08:24:52.154167,0 days 00:04:54.482481,relu,"[512, 448, 384, 320]",0.20043759292966096,0.25143314190089106,0.4898856244488173,0.25296015385762904,0.338214056622176,COMPLETE
178,0.01657975933713144,2020-11-25 08:24:52.177482,2020-11-25 08:29:46.513284,0 days 00:04:54.335802,relu,"[512, 448, 384, 320]",0.2268484833613837,0.2539055731662678,0.6058341846771687,0.25153477649729467,0.34006646563653836,COMPLETE
179,0.01742914393603496,2020-11-25 08:29:46.538579,2020-11-25 08:35:18.490897,0 days 00:05:31.952318,relu,"[1024, 768, 1536, 1792]",0.23388494200761906,0.2555188905644678,0.6060967520271072,0.2516208394833272,0.3458352949342257,COMPLETE
180,0.016628580882517407,2020-11-25 08:35:18.516097,2020-11-25 08:40:23.701818,0 days 00:05:05.185721,relu,"[512, 448, 384, 320]",0.22181579018074965,0.27313506021614725,0.6544215577939929,0.3126182276717045,0.3308925767622224,COMPLETE
181,0.01681850649960035,2020-11-25 08:40:23.727119,2020-11-25 08:45:55.198600,0 days 00:05:31.471481,relu,"[1024, 896, 768, 640]",0.20619319330383498,0.24006362149725002,0.600319078364465,0.2692444449166122,0.31170692334631944,COMPLETE
182,0.01661361079078024,2020-11-25 08:45:55.223050,2020-11-25 08:50:53.820391,0 days 00:04:58.597341,relu,"[512, 448, 384, 320]",0.20063003733561013,0.25037964025526144,0.4591744548266095,0.2828024584048119,0.3180451400326003,COMPLETE
183,0.016696581140474172,2020-11-25 08:50:53.847774,2020-11-25 08:55:46.954988,0 days 00:04:53.107214,relu,"[512, 448, 384, 320]",0.2459913624660796,0.3000064441259575,0.4390970055588131,0.6735100418354132,0.283775975554208,COMPLETE
184,0.01663596867633118,2020-11-25 08:55:46.981916,2020-11-25 09:00:41.292964,0 days 00:04:54.311048,relu,"[512, 448, 384, 320]",0.21508425888987184,0.2635917968276547,0.616955972987307,0.25634465902798953,0.34115379657589756,COMPLETE
185,0.016632856237646394,2020-11-25 09:00:41.317898,2020-11-25 09:05:34.521161,0 days 00:04:53.203263,relu,"[512, 448, 384, 320]",0.25801266275496954,0.2711106548760788,0.48514080564402334,0.23856281494569018,0.35475589955437303,COMPLETE
186,0.01725500387672222,2020-11-25 09:05:34.545122,2020-11-25 09:12:11.186588,0 days 00:06:36.641466,relu,"[2560, 2048, 1524, 1012]",0.23035336813376167,0.24111193023941574,0.5609792766712376,0.3030500432350382,0.3633643481187937,COMPLETE
187,0.016631965583435025,2020-11-25 09:12:11.219499,2020-11-25 09:17:38.314090,0 days 00:05:27.094591,relu,"[512, 448, 384, 320]",0.2939935324719142,0.25407314206278775,0.5400419133605987,0.273253431096398,0.3894303671681193,COMPLETE
188,0.016617126159802615,2020-11-25 09:17:38.339050,2020-11-25 09:22:31.550290,0 days 00:04:53.211240,relu,"[512, 448, 384, 320]",0.2669433057441881,0.27844919113075783,0.5106616481440773,0.28854699855773536,0.42001187851488836,COMPLETE
189,0.01669261447410069,2020-11-25 09:22:31.577219,2020-11-25 09:27:26.723348,0 days 00:04:55.146129,relu,"[512, 448, 384, 320]",0.28371178430778254,0.23180086983272033,0.7610824409002969,0.23104380569064412,0.32595758625145554,COMPLETE
190,,2020-11-25 09:27:26.747309,,,,,,,,,,RUNNING
