number,value,datetime_start,datetime_complete,duration,params_activation,params_denses,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_drop_rate3,params_drop_rate4,state
24,0.01695992946362253,2020-11-24 17:39:58.828936,2020-11-24 17:45:00.418470,0 days 00:05:01.589534,relu,"[512, 512, 512, 512]",0.36560315844455377,0.5044413642489981,0.20105406816928784,0.5510354639959288,0.6798993659232729,COMPLETE
25,0.017524367338664054,2020-11-24 17:45:00.446395,2020-11-24 17:50:01.999742,0 days 00:05:01.553347,relu,"[512, 512, 512, 512]",0.4893833472443878,0.6393050732428108,0.306836731384965,0.6360759570683742,0.7359455583497292,COMPLETE
26,0.016807183369893862,2020-11-24 17:50:02.025647,2020-11-24 17:55:03.124085,0 days 00:05:01.098438,relu,"[512, 512, 512, 512]",0.4257294761656303,0.3041896026190838,0.2011796255730334,0.5096439609853355,0.619858391805771,COMPLETE
27,0.017544984993900222,2020-11-24 17:55:03.149018,2020-11-24 18:00:43.642226,0 days 00:05:40.493208,relu,"[1024, 1536, 768, 1792]",0.5702550542363308,0.23744143197021422,0.2575365105915402,0.4941257708012096,0.4971286982368096,COMPLETE
28,0.01682264534315054,2020-11-24 18:00:43.669149,2020-11-24 18:06:13.480942,0 days 00:05:29.811793,relu,"[512, 1536, 768, 512]",0.42106052854239945,0.29337516440296035,0.3360457827199296,0.39502206362611825,0.570454041706959,COMPLETE
29,0.01686108427287394,2020-11-24 18:06:13.509840,2020-11-24 18:11:26.838434,0 days 00:05:13.328594,relu,"[512, 1536, 768, 512]",0.426357948598319,0.29547909037720366,0.32331997725846234,0.39112079517864456,0.5501641601678903,COMPLETE
30,0.01755299466845,2020-11-24 18:11:26.862370,2020-11-24 18:17:13.736786,0 days 00:05:46.874416,relu,"[512, 768, 1536, 1792]",0.641375396328272,0.3339786702523949,0.26235814273326086,0.3002712456358346,0.6468905427292151,COMPLETE
31,0.016916695781093265,2020-11-24 18:17:13.763740,2020-11-24 18:23:01.348837,0 days 00:05:47.585097,relu,"[512, 1536, 768, 512]",0.4914458208382976,0.4151136305165505,0.3284895289632783,0.47588272761330985,0.5811256420519761,COMPLETE
32,0.016830284675542224,2020-11-24 18:23:01.374741,2020-11-24 18:28:49.446721,0 days 00:05:48.071980,relu,"[512, 1536, 768, 512]",0.41950092763583097,0.2983783667385325,0.23906134508391863,0.39654052653315636,0.4671383972588965,COMPLETE
33,0.016719324953393497,2020-11-24 18:28:49.469660,2020-11-24 18:34:38.316528,0 days 00:05:48.846868,relu,"[512, 1536, 768, 512]",0.4218872955246011,0.20379992590043383,0.4474611559395676,0.202904449021454,0.46406059772924696,COMPLETE
