number,value,datetime_start,datetime_complete,duration,params_activation,params_dense0,params_dense1,params_drop_rate0,params_drop_rate1,params_drop_rate2,params_sync_period,state
29,0.017952031276256896,2020-11-26 00:39:00.149966,2020-11-26 00:46:33.649139,0 days 00:07:33.499173,relu,662.0,800.0,0.8719724616483604,0.26464162815885395,0.8707563076161785,64.0,COMPLETE
30,0.01658094233087379,2020-11-26 00:46:33.679059,2020-11-26 00:54:07.204324,0 days 00:07:33.525265,relu,727.0,727.0,0.14945853251179342,0.4076187854982419,0.8942743769164014,34.0,COMPLETE
31,0.01612152135031853,2020-11-26 00:54:07.230254,2020-11-26 01:01:51.493294,0 days 00:07:44.263040,relu,774.0,1103.0,0.3071469921373749,0.23005313489486645,0.7869169392624726,16.0,COMPLETE
32,0.015993352721374237,2020-11-26 01:01:51.517230,2020-11-26 01:09:51.804639,0 days 00:08:00.287409,relu,834.0,1438.0,0.22102389961361607,0.16075908570790035,0.748514649359735,27.0,COMPLETE
33,0.016221528028735617,2020-11-26 01:09:51.830571,2020-11-26 01:17:47.267234,0 days 00:07:55.436663,relu,838.0,1418.0,0.22059315516774672,0.10388104967579564,0.8998115634640184,34.0,COMPLETE
34,0.015998506953552826,2020-11-26 01:17:47.306130,2020-11-26 01:25:46.978499,0 days 00:07:59.672369,relu,916.0,1446.0,0.16104949309500122,0.1544003561614397,0.8183858417729541,18.0,COMPLETE
35,0.016198999378634213,2020-11-26 01:25:47.006425,2020-11-26 01:33:59.122766,0 days 00:08:12.116341,relu,919.0,1432.0,0.39524185639095194,0.1528434485919572,0.844388549813511,16.0,COMPLETE
36,0.01605642578544739,2020-11-26 01:33:59.147699,2020-11-26 01:42:00.223965,0 days 00:08:01.076266,relu,694.0,1452.0,0.17617804020347907,0.14237154026117443,0.6921356145965524,12.0,COMPLETE
37,0.01624195827856468,2020-11-26 01:42:00.246904,2020-11-26 01:49:48.503757,0 days 00:07:48.256853,relu,868.0,926.0,0.5722903266689837,0.19044484107400517,0.6050042071347128,56.0,COMPLETE
38,0.01663918858629713,2020-11-26 01:49:48.530685,2020-11-26 01:57:39.481941,0 days 00:07:50.951256,relu,1075.0,551.0,0.26164770243265545,0.5792484327031502,0.8286819717880697,97.0,COMPLETE
39,0.016803205757350212,2020-11-26 01:57:39.505876,2020-11-26 02:05:42.323843,0 days 00:08:02.817967,relu,616.0,1500.0,0.7980074593357755,0.10031032076786926,0.773985669858316,18.0,COMPLETE
40,0.016817392969045525,2020-11-26 02:05:42.343790,2020-11-26 02:13:55.344326,0 days 00:08:13.000536,selu,892.0,1379.0,0.39382646106945757,0.7458852867748613,0.362939833217461,42.0,COMPLETE
41,0.016012081177554198,2020-11-26 02:13:55.370257,2020-11-26 02:21:56.923679,0 days 00:08:01.553422,relu,797.0,1279.0,0.10255663820279448,0.1949918401893859,0.8070887639732376,28.0,COMPLETE
42,0.01604774137859087,2020-11-26 02:21:56.950608,2020-11-26 02:30:02.999401,0 days 00:08:06.048793,relu,841.0,1260.0,0.10033289067491573,0.1812353504932536,0.8535098061555054,27.0,COMPLETE
43,0.016037757793242142,2020-11-26 02:30:03.021343,2020-11-26 02:38:11.737166,0 days 00:08:08.715823,relu,934.0,1443.0,0.14402476366379502,0.13275388289446063,0.8071973691176558,20.0,COMPLETE
44,0.015996745271979997,2020-11-26 02:38:11.770078,2020-11-26 02:45:57.360258,0 days 00:07:45.590180,relu,784.0,1030.0,0.21977319142080343,0.23872294986010156,0.7077641230360189,31.0,COMPLETE
45,0.0160496045983708,2020-11-26 02:45:57.385191,2020-11-26 02:53:55.086164,0 days 00:07:57.700973,relu,828.0,1287.0,0.10138741572902306,0.31952217015472023,0.6950588122300067,5.0,COMPLETE
46,0.016228763937361636,2020-11-26 02:53:55.111097,2020-11-26 03:01:37.246274,0 days 00:07:42.135177,selu,803.0,1126.0,0.2152403666288185,0.24790955281650884,0.632740007040114,70.0,COMPLETE
47,0.01611454771464652,2020-11-26 03:01:37.272205,2020-11-26 03:09:21.910998,0 days 00:07:44.638793,relu,747.0,1227.0,0.2984263061513204,0.2921001413645316,0.7445594491909735,12.0,COMPLETE
48,0.01599021857710355,2020-11-26 03:09:21.940918,2020-11-26 03:17:30.087448,0 days 00:08:08.146530,relu,1071.0,1383.0,0.22394298858477124,0.1988367671932833,0.71786679994274,37.0,COMPLETE
49,0.016307398838480362,2020-11-26 03:17:30.114376,2020-11-26 03:25:39.190981,0 days 00:08:09.076605,relu,1133.0,1392.0,0.23479213074766903,0.3709429894238895,0.11928730148383404,39.0,COMPLETE
50,0.01619719823058675,2020-11-26 03:25:39.218907,2020-11-26 03:33:51.142726,0 days 00:08:11.923819,relu,1077.0,1453.0,0.470734683287627,0.32880625121678164,0.6748022606272301,46.0,COMPLETE
51,0.015990961225159497,2020-11-26 03:33:51.169654,2020-11-26 03:41:54.451582,0 days 00:08:03.281928,relu,1018.0,1354.0,0.1263085096653641,0.2040151003355808,0.7203793914127269,29.0,COMPLETE
52,0.015942324900969265,2020-11-26 03:41:54.479508,2020-11-26 03:50:02.488429,0 days 00:08:08.008921,relu,1150.0,1371.0,0.19506281094918945,0.22193390554785974,0.7161410458761702,38.0,COMPLETE
53,0.015970954002231568,2020-11-26 03:50:02.517351,2020-11-26 03:58:18.397627,0 days 00:08:15.880276,relu,1212.0,1362.0,0.127661950310204,0.21473400494234954,0.6240878158656632,37.0,COMPLETE
54,0.01598521364545771,2020-11-26 03:58:18.421563,2020-11-26 04:06:40.040853,0 days 00:08:21.619290,relu,1352.0,1371.0,0.1270234318583424,0.21186815365345027,0.6244452147929603,36.0,COMPLETE
55,0.016075470555808824,2020-11-26 04:06:40.071770,2020-11-26 04:15:05.611844,0 days 00:08:25.540074,relu,1343.0,1351.0,0.12670693444010073,0.2109852207890603,0.6170835651840533,37.0,COMPLETE
56,0.016335612575660616,2020-11-26 04:15:05.706591,2020-11-26 04:23:49.314960,0 days 00:08:43.608369,selu,1483.0,1394.0,0.200182834503143,0.2836044126876492,0.4779301306015753,41.0,COMPLETE
57,0.016102143564863874,2020-11-26 04:23:49.509708,2020-11-26 04:39:07.433855,0 days 00:15:17.924147,relu,1276.0,1345.0,0.13064713015733898,0.17929104622413647,0.5440709171882808,36.0,COMPLETE
58,0.016072303719221213,2020-11-26 04:39:07.530595,2020-11-26 05:04:08.908999,0 days 00:25:01.378404,relu,1172.0,1374.0,0.2728575869396039,0.218381090158703,0.6603414324781944,23.0,COMPLETE
59,0.015947548478152256,2020-11-26 05:04:09.177282,2020-11-26 06:15:16.448991,0 days 01:11:07.271709,relu,1347.0,1230.0,0.12398162978141791,0.3504994138034057,0.5854388014429693,30.0,COMPLETE
60,0.016083757613335893,2020-11-26 06:15:17.062352,2020-11-26 08:40:07.526514,0 days 02:24:50.464162,relu,1407.0,1228.0,0.1214676571751848,0.3566203603832385,0.5069977966412708,51.0,COMPLETE
61,0.01602780774855749,2020-11-26 08:40:08.321020,2020-11-26 11:05:51.837863,0 days 02:25:43.516843,relu,1313.0,1411.0,0.18944155494712103,0.29672546149012025,0.564970419500005,30.0,COMPLETE
62,0.015997357149068244,2020-11-26 11:05:52.544929,2020-11-26 13:24:59.884513,0 days 02:19:07.339584,relu,1366.0,1320.0,0.13331810605764327,0.2707184403405456,0.6296798088608124,24.0,COMPLETE
63,0.01612538325522207,2020-11-26 13:25:00.412618,2020-11-26 15:40:44.816038,0 days 02:15:44.403420,relu,1245.0,1181.0,0.2468725482887124,0.42026979767258466,0.7628465955995303,40.0,COMPLETE
64,,2020-11-26 15:40:45.361031,,,,,,,,,,RUNNING
