number,value,datetime_start,datetime_complete,duration,params_activation0,params_activation1,params_activation2,params_activation3,params_activation4,params_activation5,params_activation6,params_activation7,params_dense0,params_dense1,params_dense2,params_dense3,params_dense4,params_dense5,params_drop_rate0,params_drop_rate1,state
88,0.015976341,26:44.5,31:03.3,0 days 00:04:18.800027,selu,elu,selu,relu,selu,relu,selu,selu,434,827,778,747,930,1005,0.756560514,0.627194265,COMPLETE
96,0.015976922,08:30.5,16:07.3,0 days 00:07:36.801012,selu,selu,selu,selu,selu,selu,relu,selu,359,941,733,933,991,575,0.780057775,0.583375022,COMPLETE
58,0.01597697,46:32.7,53:08.3,0 days 00:06:35.550495,selu,selu,selu,selu,selu,elu,relu,elu,257,421,329,871,1002,1021,0.641933359,0.669662931,COMPLETE
52,0.015977725,06:19.0,13:28.2,0 days 00:07:09.259667,selu,selu,selu,selu,selu,selu,elu,selu,343,626,821,929,925,987,0.722465981,0.619778128,COMPLETE
55,0.015978279,27:22.0,33:41.4,0 days 00:06:19.478247,selu,relu,selu,selu,selu,elu,elu,selu,270,277,358,964,1020,921,0.689133095,0.679716647,COMPLETE
78,0.015979376,37:26.0,41:47.7,0 days 00:04:21.756183,selu,selu,selu,elu,selu,elu,elu,selu,564,882,654,792,881,932,0.762557748,0.581532861,COMPLETE
89,0.0159796,31:03.3,35:12.2,0 days 00:04:08.819258,elu,selu,selu,selu,selu,elu,elu,selu,395,702,658,987,850,937,0.70737179,0.588924995,COMPLETE
34,0.015981295,26:42.9,37:18.8,0 days 00:10:35.857911,selu,selu,selu,relu,elu,selu,selu,selu,395,573,622,947,984,1017,0.761437877,0.693327672,COMPLETE
40,0.015982177,28:41.2,38:47.7,0 days 00:10:06.543213,elu,selu,selu,selu,elu,selu,selu,selu,439,528,711,766,890,645,0.796483718,0.606375867,COMPLETE
38,0.01598237,09:14.0,18:46.4,0 days 00:09:32.443406,selu,selu,selu,relu,selu,selu,relu,selu,368,375,525,615,972,927,0.711786868,0.659404739,COMPLETE
65,0.015983831,34:22.8,40:22.1,0 days 00:05:59.352899,selu,selu,selu,selu,selu,elu,elu,selu,499,934,575,1000,878,894,0.777742299,0.583730283,COMPLETE
8,0.015984823,17:09.9,24:32.7,0 days 00:07:22.798045,elu,relu,selu,selu,selu,relu,relu,elu,625,509,717,820,725,710,0.816961434,0.511920543,COMPLETE
51,0.015986078,59:50.5,06:18.9,0 days 00:06:28.467057,selu,selu,selu,selu,selu,selu,elu,selu,390,802,682,912,967,992,0.729510815,0.59532141,COMPLETE
92,0.015986538,43:43.2,48:01.4,0 days 00:04:18.250262,selu,selu,selu,selu,selu,selu,relu,selu,420,852,673,1004,910,1006,0.685721726,0.555446445,COMPLETE
43,0.015987076,00:45.7,10:06.5,0 days 00:09:20.831365,selu,selu,selu,selu,selu,relu,relu,selu,298,300,458,842,770,990,0.678152414,0.680312464,COMPLETE
56,0.015987333,33:41.5,40:06.0,0 days 00:06:24.563441,selu,selu,selu,selu,selu,elu,elu,elu,259,379,305,815,809,874,0.6337473,0.634253728,COMPLETE
76,0.015987927,28:46.4,33:08.2,0 days 00:04:21.872805,selu,selu,elu,selu,selu,elu,elu,selu,518,770,593,891,861,885,0.749180931,0.62133157,COMPLETE
22,0.01598894,18:01.5,29:03.5,0 days 00:11:02.018778,selu,relu,selu,selu,selu,elu,relu,elu,351,329,477,1018,947,1020,0.656980863,0.590187979,COMPLETE
16,0.015988965,14:20.6,24:36.0,0 days 00:10:15.393617,selu,elu,selu,selu,selu,elu,selu,elu,536,726,417,853,821,838,0.743785725,0.558885427,COMPLETE
77,0.015989027,33:08.3,37:25.9,0 days 00:04:17.663798,selu,selu,selu,selu,relu,elu,elu,selu,407,901,742,1023,432,862,0.715825579,0.648183515,COMPLETE
30,0.015989757,44:41.1,54:47.8,0 days 00:10:06.706403,selu,selu,selu,selu,selu,selu,relu,selu,332,481,519,802,863,937,0.771844499,0.618445959,COMPLETE
47,0.015991005,34:47.7,41:10.6,0 days 00:06:22.895338,selu,selu,selu,selu,selu,selu,relu,elu,936,313,759,887,996,920,0.784507085,0.569636474,COMPLETE
21,0.015991013,08:09.3,18:01.5,0 days 00:09:52.163483,selu,relu,selu,selu,selu,elu,relu,elu,316,273,332,921,789,944,0.671420636,0.527650082,COMPLETE
33,0.015992741,15:25.0,26:42.7,0 days 00:11:17.694317,selu,selu,selu,selu,selu,selu,relu,selu,533,446,677,880,924,972,0.715523534,0.652335495,COMPLETE
87,0.015993098,22:35.9,26:44.5,0 days 00:04:08.626875,selu,selu,selu,selu,selu,elu,elu,selu,628,793,531,685,899,369,0.808693427,0.673971973,COMPLETE
50,0.015993808,54:21.3,59:50.4,0 days 00:05:29.178993,selu,selu,elu,selu,relu,selu,relu,elu,290,403,940,655,871,961,0.696655141,0.512496414,COMPLETE
23,0.015994194,29:03.5,39:34.0,0 days 00:10:30.489106,selu,relu,selu,selu,selu,elu,relu,elu,273,412,338,922,748,944,0.718196259,0.545258463,COMPLETE
82,0.015994624,01:58.3,06:05.9,0 days 00:04:07.563078,elu,selu,selu,selu,selu,elu,elu,selu,454,770,609,536,829,470,0.834358226,0.654669716,COMPLETE
81,0.015994933,57:49.4,01:58.3,0 days 00:04:08.820116,elu,selu,selu,selu,selu,elu,elu,selu,478,825,798,595,703,578,0.799101873,0.606349287,COMPLETE
62,0.015995072,13:02.4,20:06.1,0 days 00:07:03.744111,selu,selu,selu,selu,selu,elu,elu,selu,334,584,483,976,1024,1001,0.676707401,0.616452001,COMPLETE
44,0.015996219,10:06.5,20:41.4,0 days 00:10:34.830993,selu,selu,selu,selu,selu,selu,relu,selu,499,432,362,978,893,960,0.757449661,0.525836135,COMPLETE
35,0.015996733,37:18.8,48:16.8,0 days 00:10:58.013673,relu,selu,selu,elu,selu,selu,relu,selu,464,545,709,767,870,895,0.804986439,0.602414237,COMPLETE
