number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
28,0.015349786717676516,2020-11-20 18:56:49.227701,2020-11-20 19:51:27.711309,0 days 00:54:38.483608,0.30000000000000004,0.0009989609692123479,0.013862016289952995,2,2122,4,COMPLETE
29,0.015617810756892222,2020-11-20 19:51:27.872113,2020-11-20 20:51:12.276923,0 days 00:59:44.404810,0.5,0.2237525034900381,0.0014310479512063944,2,5811,2,COMPLETE
30,0.015394459363192706,2020-11-20 20:51:12.454142,2020-11-20 21:42:37.591004,0 days 00:51:25.136862,0.2,1.8097128061357628,7.37857030312694e-05,1,34,2,COMPLETE
31,0.015349197447660215,2020-11-20 21:42:37.711532,2020-11-20 22:30:10.878080,0 days 00:47:33.166548,0.15000000000000002,0.04456917083708244,3.949314666334987e-06,2,2582,4,COMPLETE
32,0.015354777003711,2020-11-20 22:30:11.000388,2020-11-20 23:16:07.103409,0 days 00:45:56.103021,0.1,0.020219887507672438,4.759221025422475e-06,2,2128,4,COMPLETE
33,0.015364575070357222,2020-11-20 23:16:07.256429,2020-11-21 00:06:48.931196,0 days 00:50:41.674767,0.25,0.14725744128017942,0.00017554218711848417,2,2675,4,COMPLETE
34,0.015362313936364905,2020-11-21 00:06:49.052492,2020-11-21 00:54:16.687517,0 days 00:47:27.635025,0.15000000000000002,1.1557043435496352,3.799136933024344e-08,2,1509,4,COMPLETE
35,0.015359242812011047,2020-11-21 00:54:16.842107,2020-11-21 01:48:05.882859,0 days 00:53:49.040752,0.35,0.006600342303329948,1.407141477574907e-05,2,2458,4,COMPLETE
36,0.015402224163618436,2020-11-21 01:48:05.978655,2020-11-21 02:38:53.231292,0 days 00:50:47.252637,0.25,1.0173063138975498,0.1205939495751655,2,3397,3,COMPLETE
37,0.02003922365157073,2020-11-21 02:38:53.378382,2020-11-21 03:34:56.855921,0 days 00:56:03.477539,0.30000000000000004,9.75659904025261,0.0004151913126612788,2,2319,4,COMPLETE
38,0.015403436970905543,2020-11-21 03:34:56.966185,2020-11-21 04:36:00.733948,0 days 01:01:03.767763,0.6,0.022510872273341687,0.008423781022295204,1,2863,4,COMPLETE
39,0.015406015604720661,2020-11-21 04:36:00.861077,2020-11-21 05:32:43.791462,0 days 00:56:42.930385,0.45000000000000007,0.15722220461638728,4.508740717508448e-05,2,748,3,COMPLETE
40,0.015356592440873576,2020-11-21 05:32:43.961333,2020-11-21 06:21:15.680172,0 days 00:48:31.718839,0.2,0.002375165570758943,8.280851242797498e-09,1,1898,4,COMPLETE
41,0.015338781013055873,2020-11-21 06:21:15.880647,2020-11-21 07:09:24.369332,0 days 00:48:08.488685,0.15000000000000002,0.03793186540359916,1.6094228896111037e-06,2,2606,4,COMPLETE
42,0.015366711805554092,2020-11-21 07:09:24.861819,2020-11-21 07:57:10.120558,0 days 00:47:45.258739,0.15000000000000002,0.07675318756742194,1.5941849065121974e-06,2,3305,4,COMPLETE
43,0.015373036719446847,2020-11-21 07:57:10.341403,2020-11-21 08:44:42.815706,0 days 00:47:32.474303,0.1,3.0432786834172463,1.0040900104833053e-07,2,1383,4,COMPLETE
