number,value,datetime_start,datetime_complete,duration,params_Na,params_batch_momentum,params_gamma,params_lambda_sparse,params_norm_type,params_num_groups,state
36,0.020562030910772792,2020-11-26 02:36:14.144207,2020-11-26 02:44:04.645767,0 days 00:07:50.501560,128.0,0.98,1.0,0.0001,group,2.0,COMPLETE
37,0.019757949739754987,2020-11-26 02:44:04.673693,2020-11-26 02:51:24.849171,0 days 00:07:20.175478,128.0,0.95,1.0,0.0001,batch,4.0,COMPLETE
38,0.019757949739754987,2020-11-26 02:51:24.878094,2020-11-26 02:58:40.148407,0 days 00:07:15.270313,128.0,0.95,1.0,0.0001,batch,4.0,COMPLETE
39,0.020260703724945105,2020-11-26 02:58:40.173340,2020-11-26 03:05:49.252725,0 days 00:07:09.079385,64.0,0.98,1.0,0.0001,batch,3.0,COMPLETE
40,0.020378105296544522,2020-11-26 03:05:49.281647,2020-11-26 03:13:34.972724,0 days 00:07:45.691077,128.0,0.95,1.0,0.0001,group,4.0,COMPLETE
41,0.019757949739754987,2020-11-26 03:13:35.000649,2020-11-26 03:20:53.042646,0 days 00:07:18.041997,128.0,0.95,1.2,0.01,batch,4.0,COMPLETE
42,0.019757949739754987,2020-11-26 03:20:53.071568,2020-11-26 03:28:18.390497,0 days 00:07:25.318929,128.0,0.95,1.0,0.01,batch,4.0,COMPLETE
43,0.019757949739754987,2020-11-26 03:28:18.417425,2020-11-26 03:35:41.429484,0 days 00:07:23.012059,128.0,0.95,1.0,0.0001,batch,4.0,COMPLETE
44,0.019757949739754987,2020-11-26 03:35:41.452424,2020-11-26 03:43:07.641358,0 days 00:07:26.188934,128.0,0.95,1.0,0.01,batch,-1.0,COMPLETE
45,0.019757949739754987,2020-11-26 03:43:07.667289,2020-11-26 03:50:29.758727,0 days 00:07:22.091438,128.0,0.95,1.0,0.01,batch,-1.0,COMPLETE
46,0.019749861883769745,2020-11-26 03:50:29.789644,2020-11-26 03:57:51.389685,0 days 00:07:21.600041,128.0,0.9,1.5,0.01,batch,-1.0,COMPLETE
47,0.02023946207147192,2020-11-26 03:57:51.416614,2020-11-26 04:05:04.186412,0 days 00:07:12.769798,64.0,0.9,1.5,0.01,batch,-1.0,COMPLETE
48,0.01990586651445863,2020-11-26 04:05:04.210349,2020-11-26 04:12:21.275913,0 days 00:07:17.065564,24.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
49,0.01993324289447868,2020-11-26 04:12:21.301844,2020-11-26 04:19:33.982441,0 days 00:07:12.680597,32.0,0.9,1.5,0.0,batch,2.0,COMPLETE
50,0.019749861883769745,2020-11-26 04:19:34.009369,2020-11-26 04:27:25.005376,0 days 00:07:50.996007,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
51,0.019749861883769745,2020-11-26 04:27:25.197890,2020-11-26 04:38:34.290993,0 days 00:11:09.093103,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
52,0.019749861883769745,2020-11-26 04:38:34.381751,2020-11-26 04:50:06.899242,0 days 00:11:32.517491,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
53,0.019749861883769745,2020-11-26 04:50:06.983018,2020-11-26 05:10:37.117656,0 days 00:20:30.134638,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
54,0.019749861883769745,2020-11-26 05:10:37.351032,2020-11-26 05:36:22.674545,0 days 00:25:45.323513,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
55,0.019749861883769745,2020-11-26 05:36:22.988705,2020-11-26 06:11:09.150409,0 days 00:34:46.161704,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
56,0.019749861883769745,2020-11-26 06:11:09.569289,2020-11-26 07:05:56.811616,0 days 00:54:47.242327,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
57,0.019749861883769745,2020-11-26 07:05:57.505760,2020-11-26 08:03:30.236288,0 days 00:57:32.730528,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
58,0.020550816147578903,2020-11-26 08:03:30.935419,2020-11-26 09:01:25.382698,0 days 00:57:54.447279,24.0,0.9,1.5,1e-06,group,-1.0,COMPLETE
59,0.02020942632129812,2020-11-26 09:01:26.084565,2020-11-26 09:57:11.738478,0 days 00:55:45.653913,8.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
60,0.019749861883769745,2020-11-26 09:57:12.379764,2020-11-26 10:49:58.409573,0 days 00:52:46.029809,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
61,0.019749861883769745,2020-11-26 10:49:58.995008,2020-11-26 11:45:34.957577,0 days 00:55:35.962569,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
62,0.019749861883769745,2020-11-26 11:45:35.600082,2020-11-26 12:39:54.617561,0 days 00:54:19.017479,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
63,0.019749861883769745,2020-11-26 12:39:55.382516,2020-11-26 13:34:52.752812,0 days 00:54:57.370296,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
64,0.019749861883769745,2020-11-26 13:34:53.447975,2020-11-26 14:29:22.791799,0 days 00:54:29.343824,128.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
65,0.01993324289447868,2020-11-26 14:29:23.446068,2020-11-26 15:24:22.122808,0 days 00:54:58.676740,32.0,0.9,1.5,1e-06,batch,-1.0,COMPLETE
66,,2020-11-26 15:24:22.841414,,,,,,,,,RUNNING
